date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:39	152/152	---M-Z	200	added ('OK')	text/plain	date:Tue,%2007%20Jan%202025%2004:14:39%20GMT	https://alma.com.ar/robots.txt		(from )
01:14:40	8542/8542	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202025%2004:14:39%20GMT	https://alma.com.ar/misxv/demoxv/	C:/Mis%20lugares%20Web/cumple/alma.com.ar/misxv/demoxv/index.html	(from )
01:14:41	160403/160403	---M-Z	200	added ('OK')	text/css	etag:%228283a-27293-5d9562d2ea600-gzip%22	https://agendalafecha.com/demoxv/assets/css/bootstrap.min.css?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/css/bootstrap.minec92.css	(from https://alma.com.ar/misxv/demoxv/)
01:14:42	508/508	---M-Z	200	added ('OK')	text/css	etag:%2282838-1fc-5d9562d2ea600-gzip%22	https://agendalafecha.com/demoxv/assets/css/jquery.classycountdown.css?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/css/jquery.classycountdownec92.css	(from https://alma.com.ar/misxv/demoxv/)
01:14:42	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%2282839-31fb-5d9562d3de840-gzip%22	https://agendalafecha.com/demoxv/assets/css/jquery.fancybox.min.css?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/css/jquery.fancybox.minec92.css	(from https://alma.com.ar/misxv/demoxv/)
01:14:42	8764/8764	---M-Z	200	added ('OK')	text/css	etag:%228283b-223c-5d9562d3de840-gzip%22	https://agendalafecha.com/demoxv/assets/css/styles.css?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/css/stylesec92.css	(from https://alma.com.ar/misxv/demoxv/)
01:14:43	58578/58578	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-e4d2%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.13.0/css/all.min.css	C:/Mis%20lugares%20Web/cumple/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.13.0/css/all.min.css	(from https://alma.com.ar/misxv/demoxv/)
01:14:43	9583/9583	---M--	200	added ('OK')	image/png	etag:%22627bd-256f-5d9562dd67ec0%22	https://agendalafecha.com/demoxv/assets/img/logo-portada.png	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/img/logo-portada.png	(from https://alma.com.ar/misxv/demoxv/)
01:14:44	309128/309128	---M--	200	added ('OK')	image/jpeg	etag:%22627b6-4b788-5d9ca6b28a400%22	https://agendalafecha.com/demoxv/assets/img/galeria/10.jpg	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/img/galeria/10.jpg	(from https://alma.com.ar/misxv/demoxv/)
01:14:44	272670/272670	---M--	200	added ('OK')	image/jpeg	etag:%22627b5-4291e-5d9ca6b28a400%22	https://agendalafecha.com/demoxv/assets/img/galeria/11.jpg	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/img/galeria/11.jpg	(from https://alma.com.ar/misxv/demoxv/)
01:14:45	216561/216561	---M--	200	added ('OK')	image/jpeg	etag:%22627b8-34df1-5d9ca6adc58c0%22	https://agendalafecha.com/demoxv/assets/img/galeria/12.jpg	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/img/galeria/12.jpg	(from https://alma.com.ar/misxv/demoxv/)
01:14:45	266919/266919	---M--	200	added ('OK')	image/jpeg	etag:%22627b7-412a7-5d9ca6adc58c0%22	https://agendalafecha.com/demoxv/assets/img/galeria/13.jpg	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/img/galeria/13.jpg	(from https://alma.com.ar/misxv/demoxv/)
01:14:45	72380/72380	---M-Z	200	added ('OK')	text/javascript	etag:%228283d-11abc-5d9562e414e80-gzip%22	https://agendalafecha.com/demoxv/assets/js/jquery-3.5.1.slim.min.js?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/js/jquery-3.5.1.slim.minec92.js	(from https://alma.com.ar/misxv/demoxv/)
01:14:46	11156/11156	---M-Z	200	added ('OK')	text/javascript	etag:%2282844-2b94-5d9562e5090c0-gzip%22	https://agendalafecha.com/demoxv/assets/js/jquery.knob.js?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/js/jquery.knobec92.js	(from https://alma.com.ar/misxv/demoxv/)
01:14:46	731/731	---M-Z	200	added ('OK')	text/javascript	etag:%228283f-2db-5d9562e5fd300-gzip%22	https://agendalafecha.com/demoxv/assets/js/jquery.throttle.js?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/js/jquery.throttleec92.js	(from https://alma.com.ar/misxv/demoxv/)
01:14:46	33298/33298	---M-Z	200	added ('OK')	text/javascript	etag:%2282845-8212-5d9562e414e80-gzip%22	https://agendalafecha.com/demoxv/assets/js/jquery.classycountdown.js?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/js/jquery.classycountdownec92.js	(from https://alma.com.ar/misxv/demoxv/)
01:14:46	21257/21257	---M-Z	200	added ('OK')	text/javascript	etag:%2282840-5309-5d9562e8d99c0-gzip%22	https://agendalafecha.com/demoxv/assets/js/popper.min.js?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/js/popper.minec92.js	(from https://alma.com.ar/misxv/demoxv/)
01:14:47	60174/60174	---M-Z	200	added ('OK')	text/javascript	etag:%228283e-eb0e-5d9562e320c40-gzip%22	https://agendalafecha.com/demoxv/assets/js/bootstrap.min.js?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/js/bootstrap.minec92.js	(from https://alma.com.ar/misxv/demoxv/)
01:14:47	6864/6864	---M-Z	200	added ('OK')	text/javascript	etag:%2282843-1ad0-5d9562e6f1540-gzip%22	https://agendalafecha.com/demoxv/assets/js/parallax.min.js?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/js/parallax.minec92.js	(from https://alma.com.ar/misxv/demoxv/)
01:14:47	68253/68253	---M-Z	200	added ('OK')	text/javascript	etag:%2282841-10a9d-5d9562e6f1540-gzip%22	https://agendalafecha.com/demoxv/assets/js/jquery.fancybox.min.js?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/js/jquery.fancybox.minec92.js	(from https://alma.com.ar/misxv/demoxv/)
01:14:47	1815/1815	---M-Z	200	added ('OK')	text/javascript	etag:%2282842-717-5d9562e7e5780-gzip%22	https://agendalafecha.com/demoxv/assets/js/scripts.js?v=	C:/Mis%20lugares%20Web/cumple/agendalafecha.com/demoxv/assets/js/scriptsec92.js	(from https://alma.com.ar/misxv/demoxv/)
01:14:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Jan%202025%2004:14:48%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/Mis%20lugares%20Web/cumple/img1.wsimg.com/traffic-assets/js/tccl.min.13.delayed	(from https://alma.com.ar/misxv/demoxv/)
01:14:48	105560/105560	---M-Z	200	added ('OK')	text/javascript	etag:%226837678401f602120e41c9eaa7a7e915%22	https://img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	C:/Mis%20lugares%20Web/cumple/img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	(from https://alma.com.ar/misxv/demoxv/)
